commande_id,client_id,date_commande,montant,statut
1,376,2024-08-12,475.38,Expédiee
2,720,2023-10-14,498.63,Annulee
3,825,2024-05-28,379.45,En attente
4,71,2024-02-02,118.56,Expédiee
5,634,2024-01-15,1.67,Livree
6,389,2024-08-15,46.99,Livree
7,80,2024-08-02,162.59,En attente
8,841,2024-07-24,871.52,Expédiee
9,995,2023-10-15,941.97,En attente
10,322,2024-07-22,177.64,En attente
11,576,2024-03-28,728.08,Annulee
12,718,2023-12-15,238.5,Annulee
13,82,2024-08-09,339.58,Expédiee
14,935,2024-08-25,812.63,Livree
15,531,2024-02-01,576.35,En attente
16,516,2024-06-24,521.36,Livree
17,158,2024-08-16,575.94,En attente
18,618,2024-04-28,198.95,Annulee
19,531,2023-10-25,424.96,Livree
20,435,2023-11-16,354.23,Annulee
21,398,2024-08-13,522.14,Expédiee
22,466,2023-12-22,358.81,Livree
23,706,2023-12-04,54.28,En attente
24,934,2024-06-08,393.7,Expédiee
25,459,2024-03-01,283.02,Annulee
26,230,2023-11-02,79.12,Expédiee
27,854,2023-11-22,177.04,Annulee
28,172,2024-08-02,792.22,Expédiee
29,346,2024-09-08,283.18,Annulee
30,273,2023-12-21,307.33,En attente
31,500,2024-02-21,763.17,Expédiee
32,336,2024-05-10,901.38,Livree
33,54,2024-03-09,795.74,Expédiee
34,318,2023-10-04,782.18,En attente
35,21,2024-06-10,649.69,En attente
36,107,2023-10-29,952.49,Annulee
37,495,2023-10-15,715.77,Expédiee
38,834,2024-07-05,765.3,Annulee
39,884,2023-10-17,838.7,Annulee
40,659,2024-04-13,582.39,Livree
41,735,2024-07-08,734.28,Livree
42,942,2024-07-28,131.35,Annulee
43,339,2023-10-04,624.21,Annulee
44,439,2023-11-02,132.81,En attente
45,854,2024-07-13,177.49,Expédiee
46,4,2024-05-09,11.43,Annulee
47,780,2024-05-12,171.02,En attente
48,873,2024-02-23,981.96,Expédiee
49,928,2024-07-06,889.26,Livree
50,143,2023-12-25,340.67,Annulee
51,627,2024-06-25,875.34,Livree
52,530,2024-07-20,263.63,Expédiee
53,529,2024-09-25,787.66,Livree
54,102,2024-06-23,831.23,En attente
55,715,2023-12-03,502.4,Livree
56,428,2024-02-25,339.81,Annulee
57,745,2024-01-02,816.2,Expédiee
58,696,2023-10-04,305.87,En attente
59,889,2024-03-05,923.02,Expédiee
60,319,2024-06-14,421.47,Annulee
61,525,2024-04-16,829.35,En attente
62,418,2024-02-12,556.43,Livree
63,918,2024-04-30,682.16,Annulee
64,149,2024-07-29,789.15,Expédiee
65,665,2024-02-11,664.65,En attente
66,134,2024-02-16,12.38,Livree
67,822,2024-07-25,473.43,Expédiee
68,870,2023-10-21,726.69,Livree
69,27,2024-07-06,752.79,Annulee
70,980,2024-10-01,559.14,Annulee
71,638,2024-09-01,297.01,En attente
72,155,2024-03-27,313.54,Annulee
73,503,2024-06-24,109.52,Annulee
74,174,2024-01-31,390.93,Annulee
75,365,2023-12-24,656.24,Expédiee
76,957,2024-02-14,657.78,En attente
77,658,2024-06-09,919.03,Annulee
78,79,2024-03-23,676.44,Expédiee
79,787,2024-03-11,803.87,Expédiee
80,74,2024-04-05,721.23,Expédiee
81,796,2024-06-06,159.28,En attente
82,860,2023-12-21,66.8,En attente
83,693,2023-10-21,776.71,Expédiee
84,718,2024-08-21,811.64,En attente
85,256,2024-05-03,848.49,Expédiee
86,987,2024-05-25,971.76,Annulee
87,346,2024-03-29,655.14,Expédiee
88,318,2024-08-02,80.33,Annulee
89,347,2024-06-21,299.84,En attente
90,884,2024-04-25,609.98,En attente
91,658,2024-09-17,764.68,En attente
92,949,2023-12-08,65.64,Livree
93,25,2024-06-09,27.23,Expédiee
94,700,2024-09-07,555.23,Livree
95,398,2024-08-19,834.27,En attente
96,272,2023-10-22,339.01,Annulee
97,666,2024-03-15,338.66,Expédiee
98,116,2024-07-13,108.67,En attente
99,340,2024-06-29,71.79,Livree
100,125,2024-03-18,796.09,Livree
101,747,2024-07-05,953.3,Expédiee
102,867,2024-03-10,618.4,Annulee
103,644,2024-09-18,65.68,Expédiee
104,756,2024-08-18,847.33,Livree
105,500,2024-08-12,373.46,En attente
106,623,2023-12-11,815.91,Annulee
107,363,2024-03-20,799.07,Livree
108,260,2024-07-16,126.45,Livree
109,196,2024-09-13,55.29,Livree
110,572,2024-05-28,213.11,Annulee
111,126,2024-04-06,768.46,Expédiee
112,84,2024-09-25,889.04,Expédiee
113,117,2024-08-17,932.97,En attente
114,511,2024-02-22,647.81,En attente
115,959,2024-02-01,390.73,Livree
116,592,2024-09-01,778.62,Livree
117,304,2023-10-09,86.4,Annulee
118,15,2024-05-21,461.07,En attente
119,51,2024-02-15,333.48,En attente
120,453,2024-04-12,680.38,Expédiee
121,323,2023-12-17,810.85,Livree
122,547,2024-05-14,543.94,Livree
123,741,2024-01-01,134.19,Livree
124,137,2023-12-25,454.89,Annulee
125,185,2023-11-25,79.12,Expédiee
126,554,2024-02-05,381.33,En attente
127,703,2024-09-29,703.17,Livree
128,202,2024-03-18,419.26,En attente
129,359,2024-06-23,796.6,Livree
130,717,2023-11-13,201.3,Expédiee
131,635,2024-03-26,573.36,Livree
132,183,2024-07-10,725.73,En attente
133,630,2024-02-18,678.59,En attente
134,409,2024-03-17,825.93,Livree
135,96,2024-09-03,474.5,Livree
136,107,2023-12-12,390.86,Expédiee
137,741,2024-09-29,844.33,Annulee
138,293,2024-04-06,780.95,Expédiee
139,462,2024-05-17,458.2,Livree
140,246,2024-08-31,457.88,Annulee
141,669,2023-10-15,346.77,Livree
142,714,2024-03-27,348.6,Livree
143,171,2024-05-24,565.83,Expédiee
144,528,2024-08-03,121.34,Expédiee
145,17,2023-12-13,150.82,Annulee
146,790,2024-08-29,639.12,Livree
147,731,2024-03-15,844.15,Expédiee
148,722,2023-12-11,717.72,Expédiee
149,892,2024-08-13,522.39,Livree
150,858,2024-06-20,681.85,Livree
151,209,2024-09-29,88.1,Expédiee
152,182,2024-07-31,181.19,Annulee
153,544,2024-08-24,644.39,Expédiee
154,400,2023-12-11,782.98,Livree
155,745,2024-04-13,239.82,Livree
156,129,2024-08-19,601.02,En attente
157,763,2024-05-10,772.63,Livree
158,395,2023-10-29,451.15,Livree
159,20,2024-06-17,362.07,Annulee
160,827,2023-12-11,651.39,Annulee
161,20,2024-09-27,976.12,Expédiee
162,961,2023-10-22,623.37,Annulee
163,472,2024-01-17,579.96,Annulee
164,920,2024-02-21,214.7,Annulee
165,460,2024-03-29,897.93,En attente
166,960,2024-05-04,251.5,Annulee
167,435,2024-09-14,440.69,Annulee
168,352,2024-08-25,126.02,En attente
169,648,2023-12-31,976.48,Annulee
170,916,2024-05-29,237.57,Annulee
171,198,2024-06-11,880.41,Livree
172,769,2024-03-24,277.38,Annulee
173,203,2024-05-30,65.3,Expédiee
174,149,2024-07-29,0.7,Expédiee
175,25,2023-11-13,353.9,Livree
176,597,2024-03-14,924.02,Expédiee
177,183,2023-11-22,703.82,Expédiee
178,263,2024-07-28,320.18,Expédiee
179,182,2024-02-14,119.22,En attente
180,807,2024-05-23,670.75,Livree
181,11,2024-07-01,481.96,Expédiee
182,544,2024-09-18,99.5,Annulee
183,272,2024-02-14,778.84,Expédiee
184,515,2024-01-29,739.72,En attente
185,991,2024-05-08,797.81,Annulee
186,11,2024-09-11,418.0,Expédiee
187,305,2024-09-22,936.97,Livree
188,234,2024-04-18,821.71,Expédiee
189,577,2024-07-22,994.44,En attente
190,962,2023-11-30,672.58,Livree
191,464,2024-07-09,877.33,Livree
192,700,2024-01-18,887.44,Expédiee
193,901,2024-03-22,398.12,En attente
194,794,2024-08-11,511.43,En attente
195,766,2024-06-01,471.04,Expédiee
196,633,2023-11-28,906.79,Annulee
197,640,2024-07-31,60.01,Annulee
198,35,2024-02-03,788.65,Expédiee
199,954,2024-01-24,109.55,En attente
200,904,2023-10-30,851.34,Livree
201,912,2023-10-10,340.39,En attente
202,887,2024-02-08,200.37,En attente
203,378,2024-09-25,436.02,Annulee
204,121,2023-10-14,10.79,Livree
205,274,2024-01-22,455.01,Annulee
206,359,2024-01-18,756.84,En attente
207,442,2024-03-27,274.16,Livree
208,849,2024-08-28,52.51,Annulee
209,545,2024-04-04,424.2,Expédiee
210,288,2024-08-17,598.52,En attente
211,568,2023-10-29,810.51,Expédiee
212,80,2024-04-13,714.21,Expédiee
213,907,2024-07-16,152.8,Expédiee
214,926,2023-12-26,395.82,Annulee
215,62,2024-07-09,514.81,Annulee
216,275,2024-01-26,375.46,Annulee
217,972,2024-03-03,46.82,Expédiee
218,775,2024-02-23,972.89,En attente
219,104,2024-05-08,723.61,En attente
220,329,2023-11-24,436.17,En attente
221,296,2024-03-14,849.33,Annulee
222,385,2024-03-23,366.64,Expédiee
223,248,2024-08-30,396.42,Expédiee
224,437,2024-02-14,8.2,En attente
225,936,2023-11-05,136.93,Annulee
226,385,2024-06-16,703.29,Annulee
227,706,2023-12-20,260.64,Expédiee
228,122,2024-01-03,609.41,En attente
229,574,2024-07-19,759.22,En attente
230,267,2024-03-26,378.69,En attente
231,339,2024-07-05,743.88,Annulee
232,246,2024-02-09,195.44,Livree
233,105,2024-04-21,309.62,Annulee
234,642,2024-04-01,907.76,Livree
235,808,2024-09-12,921.72,Annulee
236,493,2024-03-28,607.05,En attente
237,2,2024-05-09,484.16,Expédiee
238,274,2023-12-17,439.76,En attente
239,52,2024-06-01,947.23,Annulee
240,859,2023-10-07,255.74,Expédiee
241,25,2024-05-04,507.06,Livree
