SaleID,ProductID,Quantity,SaleDate,SalesAmount,dateUpdate
1,101,5,2024-01-20,72.78,2024-01-28
2,101,5,2024-08-28,327.34,2024-09-05
3,100,1,2024-11-01,419.85,2024-04-30
4,102,2,2024-09-02,238.83,2024-03-30
5,103,1,2024-01-16,132.68,2024-08-06
6,100,5,2024-05-06,92.89,2024-12-23
7,101,6,2024-05-23,392.58,2024-06-28
8,105,7,2024-09-02,174.75,2024-12-25
9,102,3,2024-07-24,54.87,2024-07-23
10,102,9,2024-09-29,41.76,2024-06-12
11,101,5,2024-07-15,402.1,2024-12-03
12,105,5,2024-08-13,351.79,2024-11-16
13,100,4,2024-11-25,97.72,2024-09-19
14,103,3,2024-03-20,114.48,2024-01-19
15,105,9,2024-01-28,415.25,2024-09-03
16,100,2,2024-10-04,194.76,2024-05-25
17,101,9,2024-07-06,138.35,2024-07-21
18,100,10,2024-01-16,484.69,2024-11-09
19,104,7,2024-12-31,164.63,2024-03-16
20,101,5,2024-06-11,69.39,2024-12-26
21,105,6,2024-05-01,53.95,2024-09-21
22,100,3,2024-09-13,437.24,2024-08-08
23,104,4,2024-07-24,188.63,2024-02-27
24,104,4,2024-10-22,260.25,2024-03-13
25,102,7,2024-10-31,244.78,2024-05-28
26,102,4,2024-01-02,73.43,2024-10-23
27,104,10,2024-07-30,233.28,2024-12-30
28,104,9,2024-09-17,298.35,2024-11-02
29,105,9,2024-06-28,364.46,2024-08-17
30,101,8,2024-11-17,403.79,2024-04-13
31,104,5,2024-10-11,141.37,2024-03-28
32,100,5,2024-07-15,80.29,2024-12-11
33,105,6,2024-12-04,45.79,2024-12-20
34,105,6,2024-10-07,364.34,2024-02-27
35,105,7,2024-03-09,215.29,2024-07-13
36,103,10,2024-04-03,401.84,2024-12-15
37,100,9,2024-08-26,477.27,2024-07-29
38,101,4,2024-08-22,358.86,2024-12-29
39,105,9,2024-03-25,46.99,2024-07-30
40,104,6,2024-05-20,443.95,2024-02-17
41,101,5,2024-08-30,464.64,2024-05-02
42,105,6,2024-07-05,289.68,2024-03-19
43,104,4,2024-10-01,72.73,2024-11-26
44,103,9,2024-03-29,238.27,2024-07-21
45,104,9,2024-04-01,178.19,2024-01-26
46,104,2,2024-12-03,252.52,2024-01-02
47,103,6,2024-09-18,411.3,2024-06-27
48,101,5,2024-07-02,302.96,2024-09-29
49,101,10,2024-11-05,320.12,2024-12-31
50,102,7,2024-02-09,422.26,2024-12-18
51,105,2,2024-05-05,498.12,2024-07-10
52,105,7,2024-12-25,102.65,2024-08-08
53,105,10,2024-02-14,47.88,2024-12-22
54,101,4,2024-06-09,439.04,2024-03-04
55,101,7,2024-07-23,372.64,2024-06-04
56,103,6,2024-11-19,485.71,2024-12-09
57,102,6,2024-08-31,462.64,2024-12-25
58,100,1,2024-06-22,293.52,2024-05-14
59,101,10,2024-03-13,284.47,2024-03-06
60,100,4,2024-07-01,397.19,2024-09-14
61,104,2,2024-06-03,465.76,2024-06-04
62,104,1,2024-11-18,237.58,2024-08-20
63,104,8,2024-02-19,103.1,2024-09-30
64,100,4,2024-06-08,111.39,2024-06-22
65,105,7,2024-06-22,99.61,2024-10-19
66,103,2,2024-09-22,296.63,2024-10-05
67,105,4,2024-01-26,380.9,2024-11-24
68,100,7,2024-06-07,233.82,2024-11-30
69,101,4,2024-12-23,444.21,2024-07-23
70,105,9,2024-05-07,244.41,2024-03-28
71,105,10,2024-05-05,172.01,2024-01-18
72,104,2,2024-01-10,159.97,2024-03-16
73,103,10,2024-02-17,53.65,2024-02-25
74,102,2,2024-02-21,178.64,2024-07-07
75,100,4,2024-04-05,21.42,2024-11-04
76,104,6,2024-05-07,290.68,2024-08-13
77,105,7,2024-04-23,319.02,2024-02-03
78,105,6,2024-04-25,231.62,2024-11-17
79,105,8,2024-05-30,73.12,2024-09-04
