Extension,Type,Name,Path,Size (Bytes),Creation Date,Modification Date
.py,Script,sPyCam.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\sPyCam.py,976,2020-12-30 11:49:50,2014-11-03 23:30:46
,Unknown,.gitconfig,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\.gitconfig,283,2023-04-28 19:30:18,2020-03-02 16:18:59
.py,Script,sanstitre1.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\sanstitre1.py,187,2020-10-22 15:06:08,2020-10-22 15:06:08
.py,Script,pdfReader.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\pdfReader.py,378,2020-10-22 15:06:10,2020-10-22 15:06:10
.py,Script,lirefichier.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\lirefichier.py,153,2020-10-30 16:01:42,2020-10-30 16:01:42
.py,Script,sqlite3.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\sqlite3.py,755,2020-10-30 16:01:52,2020-10-30 16:01:52
.py,Script,Annee bissextile.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Annee bissextile.py,401,2020-10-30 16:02:12,2020-10-30 16:02:13
.py,Script,tablemulti.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tablemulti.py,543,2020-10-30 16:02:15,2020-10-30 16:02:15
.py,Script,effcaerconsonnes.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\effcaerconsonnes.py,237,2020-10-30 16:02:17,2020-10-30 16:02:17
.py,Script,incremente.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\incremente.py,302,2020-10-30 16:02:19,2020-10-30 16:02:19
.py,Script,all_unique.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\all_unique.py,171,2020-12-03 15:43:26,2020-12-03 15:43:26
.py,Script,allUnique.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\allUnique.py,69,2020-12-03 18:25:08,2020-12-03 18:25:08
.py,Script,anagrams.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\anagrams.py,353,2020-12-03 18:34:30,2020-12-03 18:34:30
.py,Script,myFunctions.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\myFunctions.py,400,2020-12-03 18:55:53,2020-12-03 18:55:53
.py,Script,Python.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Python.py,2109,2020-12-03 15:44:46,2020-12-03 19:00:10
.py,Script,hello (2).py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\hello (2).py,957,2020-12-07 12:07:06,2020-12-07 12:19:39
.py,Script,feet2meter.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\feet2meter.py,1448,2020-12-07 12:55:45,2020-12-07 12:55:45
.py,Script,tipcalculator.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tipcalculator.py,3889,2020-12-07 15:28:00,2020-12-07 15:28:00
.py,Script,SlideShow.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\SlideShow.py,1055,2020-12-07 16:23:01,2020-12-07 16:23:01
.py,Script,image.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\image.py,5572,2020-12-08 14:31:16,2020-12-08 14:31:16
.py,Script,loadImage.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\loadImage.py,5621,2020-12-21 19:11:57,2020-12-21 19:11:58
.py,Script,Created on Mon Dec  7 172117 2020.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Created on Mon Dec  7 172117 2020.py,928,2020-12-21 19:12:01,2020-12-21 19:12:02
.py,Script,class.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\class.py,294,2020-12-21 19:12:04,2020-12-21 19:12:05
.py,Script,tkinterEX.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tkinterEX.py,1066,2020-12-21 19:12:08,2020-12-21 19:12:09
.py,Script,tkinterEXBTN.py,C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\tkinterEXBTN.py,352,2020-12-21 19:12:12,2020-12-21 19:12:12
