Tra Date Montant Type Societe Quoi Qui Banque
1 20230515 21 PE XH DIV M NICK
2 20230515 23 PE AMZ CHRG R NICK
3 20230515 25 PE AMZ CABL R NICK
4 20230515 25 PE AMZ COQUE A NICK
5 20230515 10 PE SW MEDC ML NICK
6 20230515 6 CB FOODSTATION BOUFFE M NICK
7 20230515 45 CB DECAT DIV M NICK
8 20230515 6 CB x CF M NICK
9 20230515 22 PE CHATGPT ABO M NICK
10 20230515 28 CB CASINO DIVERS M NICK
11 20230515 30 PE SW AIDE TA NICK
12 20230515 30 PE SW MEDIC ML NICK
13 20230515 2 PE FREE ABO M NICK
14 20230515 336 PE SAHLMAP LOYER M NICK
15 20230515 1 PE APPLE ABO M NICK
16 20230515 25 PE SW FALLOUMEDIC FL NICK
17 20230515 50 PE SW AIDE MAMAN NICK
18 20230515 21 PE XH DIV M NICK
19 20230515 2 PE GOOGLE ABO M NICK
20 20230515 18 PE NETFLIX ABO M NICK
21 20230515 929 PE SW DEPENSE ML NICK
25 20230515 7 PE PRIME ABO M NICK
26 20230518 12 PE GOOGLE ABO M NICK
28 20230518 2 PE GOOGLE ABO M NICK
29 20230518 20 CB LECLERC DIV M NICK
30 20230518 21 PE XH DIV M NICK
31 20230518 7 PE PRIME ABO M NICK
32 20230430 26 CB URBANJUMP DIV RAI NICK
33 20230428 17 CB LECLERC DIV M NICK
34 20230428 21 CB CASINO DIV M NICK
35 20230428 2 CB XXXX DIV M NICK
36 20230426 2 PE GOOGLE ABO M NICK
37 20230426 14 CB KETI CIGELE M NICK
38 20230425 8 PE GOOGLE ABO M NICK
39 20230424 20 PE XH DIV M NICK
40 20230424 21 PE XH DIV M NICK
41 20230423 9 PE DISNEY ABO M NICK
42 20230423 3 PE AMZDIGITAL ABO M NICK
43 20230422 20 CB TOTAL ESSENCE M NICK
44 20230421 10 PE AUDIBLE ABO M NICK
45 20230419 12 PE GOOGLE ABO M NICK
46 20230419 20 PE FREE ABO M NICK
47 20230418 40 CB COTIZUP ZAKAAT M NICK
48 20230418 5 CB ALDI BOUFFE M NICK
49 20230418 30 CB SW AIDE ML NICK
50 20230418 7 PE UFCQUECHOISIR ABO M NICK
51 20230415 4 PE AMZ ABO M NICK
52 20230415 4 CB SAFAMARWA BOUFFE M NICK
53 20230415 8 CB LIDL BOUFFE M NICK
54 20230415 9 CB LECLERC BOUFFE M NICK
55 20230415 4 CB LIDL BOUFFE M NICK
56 20230414 5 CB CASINO BOUFFE M NICK
57 20230414 77 PE SW AIDE ML NICK
58 20230413 22 PE CHATGPT ABO M NICK
59 20230413 2 PE GOOGLE ABO ML NICK
60 20230413 6 PE WORLDREMMIT X M NICK
61 20230413 21 PE XH X M NICK
62 20230413 18 PE FREE ABO M NICK
63 20230412 150 CB SW ANNIVPAPY PAPY NICK
64 20230413 150 CB SW DIV ML NICK
65 20230411 14 CB ALDI BOUFFE M NICK
66 20230410 21 CB XH X M NICK
67 20230411 16 CB SW AIDE ML NICK
68 20230409 31 CB SW AIDE ML NICK
69 20230411 12 PE GOOGLE ABO ML NICK
70 20230409 12 PE LESHALLESDECH BOUFFE M NICK
71 20230408 150 CB SW AIDE ML NICK
72 20230406 12 CB CASINO BOUFFE M NICK
73 20230406 22 CB CASTO DIV M NICK
74 20230406 20 CB TOTAL GASOIL M NICK
75 20230406 50 CB SW AIDE ML NICK
76 20230406 850 CB SW AIDE ML NICK
77 20230406 2 PE GOOGLE ABO ML NICK
78 20230404 17 PE NETFLIX ABO M NICK
79 20230403 2 PE GOOGLE ABO M NICK
80 20230401 5 PE AMZ ABO M NICK
