Phrase,Definition 1,Definition 2,Definition 3
Un Data Warehouse est optimisé pour des requêtes OLAP avec des schémas en étoile ou flocon.,Requêtes OLAP: Requêtes pour l’analyse multidimensionnelle.,Schéma en étoile: Modèle de base de données avec une table centrale reliée à des tables de dimensions.,Schéma en flocon: Modèle où les tables de dimensions sont normalisées.
Azure Data Factory permet l'orchestration des pipelines de données dans le cloud.,Orchestration: Gestion de processus de traitement de données.,Pipeline: Série d’étapes enchaînées pour déplacer ou transformer des données.,Cloud: Environnement accessible via internet.
Les Integration Runtimes dans Azure Data Factory facilitent le déplacement et la transformation des données.,Integration Runtime: Composant exécutant des tâches dans Azure Data Factory.,Transformation des données: Conversion de données d’un format à un autre.,
Un pipeline dans Azure Data Factory est constitué d'activités - de déclencheurs - de datasets et de services liés.,Activités: Actions spécifiques dans un pipeline.,Déclencheurs: Événements qui lancent un pipeline.,Datasets: Collection de données d’une source spécifique.
Delta Lake améliore un Data Lake traditionnel en prenant en charge les transactions ACID.,Transactions ACID: Propriétés de fiabilité des transactions (Atomicité - Cohérence - Isolation - Durabilité).,,
Le Delta Lake permet de revenir à des versions antérieures des données avec la fonctionnalité 'time travel'.,Time Travel: Retour à un état antérieur des données.,,
Azure Synapse Analytics combine des capacités de Data Warehouse et d'analyse Big Data.,Big Data: Données volumineuses et complexes nécessitant des technologies spécifiques pour être analysées.,,
Les pools SQL dédiés dans Azure Synapse stockent des données persistantes pour des requêtes analytiques à grande échelle.,Pools SQL dédiés: Bases de données provisionnées pour des requêtes analytiques intensives.,Données persistantes: Données stockées durablement.,
Les pools SQL serverless dans Synapse permettent de requêter des données sans provisioning préalable.,Serverless: Modèle de calcul sans provisionnement préalable.,,
Azure Data Factory prend en charge l'ingestion et la transformation de données à partir de plusieurs sources.,Ingestion: Processus de collecte de données à partir de sources externes.,Transformation de données: Processus de modification des données pour les rendre utilisables dans un contexte spécifique.,
Delta Lake garantit l'intégrité des données avec le support des transactions ACID.,Transactions ACID: Propriétés qui garantissent la fiabilité des transactions (Atomicité - Cohérence - Isolation - Durabilité).,Intégrité des données: Exactitude et cohérence des données tout au long de leur cycle de vie.,
Azure Synapse Analytics propose des solutions pour analyser des données à grande échelle.,Grande échelle: Traitement d'énormes volumes de données avec des outils spécialisés.,,
Les clusters dans Azure Databricks peuvent être mis à l'échelle automatiquement pour gérer des charges de travail fluctuantes.,Clusters: Ensemble d'ordinateurs travaillant ensemble pour traiter de grandes quantités de données.,Mise à l'échelle automatique: Capacité d'ajuster les ressources en fonction de la charge de travail.,
Azure Stream Analytics permet de traiter des flux de données en temps réel.,Flux de données: Suite continue de données générées par des capteurs - systèmes ou utilisateurs.,Temps réel: Traitement des données dès qu'elles sont générées - sans délai.,
Les pools SQL dédiés dans Azure Synapse sont optimisés pour l'analyse de données volumineuses.,Pools SQL dédiés: Environnements de base de données provisionnés pour des requêtes SQL.,Données volumineuses: Ensembles de données de très grande taille nécessitant des outils spécifiques pour les traiter.,
Azure Event Hubs permet de traiter des millions d'événements par seconde.,Azure Event Hubs: Service d'ingestion de données en temps réel pour des millions d'événements.,Événements: Actions ou changements capturés sous forme de données par des systèmes ou capteurs.,
Delta Lake permet le versionnement des données pour garantir la traçabilité des modifications.,Versionnement: Suivi des différentes versions d'un ensemble de données pour assurer la traçabilité.,Traçabilité: Capacité de suivre l'origine - la modification et l'accès aux données.,
Azure Data Lake Store permet de stocker des données non structurées à grande échelle.,Données non structurées: Données qui n'ont pas de format prédéfini (ex: vidéos - textes libres).,Grande échelle: Capacité à gérer et stocker de très grands volumes de données.,
Azure Synapse Analytics intègre des outils pour exécuter des modèles de machine learning.,Machine learning: Technique d'intelligence artificielle permettant aux systèmes d'apprendre à partir des données.,Modèles: Algorithmes ou ensembles de règles utilisés pour prendre des décisions ou prédictions basées sur les données.,
Azure Data Factory permet de créer des pipelines de données pour orchestrer des flux de travail complexes.,Pipelines de données: Ensemble d'étapes automatisées pour déplacer et transformer des données.,Orchestration: Gestion coordonnée de plusieurs processus de données pour atteindre un objectif.,
