"Question","Options","Correct Answer","Justification","revoir"
"What does the 'E' in ETL stand for?","a) Elicit - b) Evacuate - c) Extract - d) Excerpt","c) Extract","ETL stands for Extract - Transform - Load.","0.0"
"You need to design a partition solution for the fact table. The solution must meet the following requirements:--- Optimize read performance when querying sales data for a single region in a given month.-- Optimize read performance when querying sales data for all regions in a given month.-- Minimize the number of partitions.--Which column should you use for partitioning?","a) Date partitioned by month - b) Product - c) Region - d) Store","b) Product","Le partitionnement par produit assure le parallélisme lors de l'interrogation des données de vente pour un mois donné dans une région ou plusieurs régions. Si on partitionne par date - toutes les ventes d'un mois donné seront dans la même partition - ce qui ne fournit pas de parallélisme. De plus - toutes les ventes d'une même région seront dans la même partition - ce qui ne permettra pas de parallélisme au sein de la région.","0.0"
"Choose the valid examples of Structured Data.","a) Microsoft SQL Server - b) Binary Files - c) Azure SQL Database - d) Audio Files - e) Azure SQL Data Warehouse - f) Image Files","a) Microsoft SQL Server - c) Azure SQL Database - e) Azure SQL Data Warehouse","Structured data refers to data that is organized in a highly structured format - often stored in relational databases. Microsoft SQL Server - Azure SQL Database - and Azure SQL Data Warehouse are all examples of systems that store structured data in tables with rows and columns.","0.0"
"You are designing a security model in Azure Synapse Analytics to support multiple companies. Which two objects should you include to ensure users only see their own company’s data?","a) Security Policy - b) Custom Role-Based Access Control - c) Function - d) Column Encryption Key - e) Asymmetric Keys","a) Security Policy - b) Custom Role-Based Access Control","a) Security Policy - b) Custom Role-Based Access Control : Corrects - car ces objets permettent de contrôler les accès par entreprise de manière granulaire.","0.0"
"You are designing a financial transaction table in Azure Synapse Analytics with 500 million rows per account type and 65 million rows per transaction month. Analysts will mostly query data by month. On which column should you partition the table?","a) Customer Segment - b) Account Type - c) Transaction Type - d) Transaction Month","d) Transaction Month","d) Transaction Month : Correct - car partitionner par mois minimise les temps de requête pour les analyses par période.","0.0"
"You have an Azure synapse analytics dedicated SQL pool named pool one and a database named DB1. DB1 contains a fact table named table one. You need to identify the extent of data skew in table one. What should you do in Synapse Studio?","a) Execute the DBCC PDW_SHOWSPACEUSED command on pool one - b) Use the sys.dm_pdw_nodes_db_partition_stats dynamic management view - c) Use the sys.dm_db_partition_stats dynamic management view - d) Execute the DBCC CHECKALLOC command on pool one","b) Use the sys.dm_pdw_nodes_db_partition_stats dynamic management view","b) Use the sys.dm_pdw_nodes_db_partition_stats dynamic management view : Correct - car cette vue permet d'analyser la répartition des données entre les nœuds pour identifier tout déséquilibre dans les tables distribuées par hachage.","0.0"
"In Azure Synapse Analytics- you want to check the overall status of the nodes in your dedicated pool to ensure they are functioning properly. Which system view should you query?","a) DBCC PDW_SHOWSPACEUSED - b) DBCC CHECKALLOC - c) sys.dm_pdw_node_status - d) sys.dm_pdw_nodes_db_partition_stats","c) sys.dm_pdw_node_status","c) sys.dm_pdw_node_status : Correct - car cette vue système permet de surveiller l'état des nœuds dans un pool dédié - ce qui est essentiel pour s'assurer qu'ils fonctionnent correctement. Les autres options sont incorrectes : a) et b) sont des commandes pour la gestion de l'espace et l'intégrité des allocations - mais elles ne fournissent pas d'informations sur l'état des nœuds. d) sys.dm_pdw_nodes_db_partition_stats est une vue utilisée pour vérifier l'état des partitions et non des nœuds.","0.0"
"By default- how long are Azure Data Factory diagnostics logs retained?","a) 15 days - b) 30 days - c) 45 days","c) 45 days","c) 45 days : Correct - car les logs de diagnostic d'Azure Data Factory sont conservés pendant 45 jours par défaut.","0.0"
"You are designing a partition strategy for a large fact table in Azure Synapse. The table has 2.4 billion records. How many partition ranges should you use for optimal performance?","a) 40 - b) 240 - c) 400 - d) 2400","a) 40","a) 40 : Correct - car cette partition offre un équilibre optimal entre compression et performances pour un grand nombre de lignes.","0.0"
"You have an Azure storage account and a data warehouse in Azure Synapse Analytics in the UK South region. You need to copy blob data from the storage account to the data warehouse using Azure Data Factory. The solution must ensure that the data remains in the UK South region at all times and minimizes administrative efforts. Which integration runtime should you use?","a) Azure Integration Runtime - b) Azure SSIS Integration Runtime - c) Self-Hosted Integration Runtime","a) Azure Integration Runtime","a) Azure Integration Runtime : Correct - car il permet le déplacement des données au sein de la même région - tout en minimisant l'effort administratif.","0.0"
"Applications that publish messages to Azure Event Hub frequently will get the best performance using AMQP. Is this statement true or false?","a) True - b) False","a) True","a) True : Correct - car l'AMQP établit une connexion persistante - ce qui améliore les performances pour les publications fréquentes de messages.","0.0"
"Which Azure Storage access tier is the most expensive in terms of cost?","a) Archive - b) Hot - c) Premium - d) Cold","c) Premium","The Premium tier offers the highest performance at the highest cost.","0.0"
"You need to design an analytical storage solution for the transactional data. The solution must meet the sales transaction dataset requirements. What should you include in the solution for table type to store retail store data and table type to store promotional data?","a) Hash - b) Replicated - c) Round Robin | a) Hash - b) Replicated - c) Round Robin","b) Replicated | a) Hash","b) Replicated | a) Hash : Correct - car les tables répliquées éliminent les opérations de déplacement des données pour les requêtes de jointure sur les petites tables comme les magasins de détail. Une table de distribution hash est plus efficace pour les grandes tables comme celles des promotions.","0.0"
