"Question","Options","Correct Answer","Justification","0","0.1","0.2","0.3"
"You use Azure Stream Analytics to receive data from Azure Event Hubs and to output the data to an Azure Blob Storage account. You need to output the count of records received from the last five minutes every minute. Which windowing function should you use?","a) Session - b) Tumbling - c) Sliding - d) Hopping","d) Hopping","Hopping window generates results at regular intervals (every minute) while looking back over a sliding window (five minutes).","","","",""
"You are designing the folder structure for an Azure Data Lake Storage Gen2 container. Users will query data by using a variety of services including Azure Databricks and Azure Synapse Analytics serverless SQL pools. The data will be secured by subject area. Most queries will include data from the current year or current month. Which folder structure should you recommend to support fast queries and simplified folder security?","a) /{SubjectArea}/{DataSource}/{DD}/{MM}/{YYYY}/{FileData}_{YYYY}_{MM}_{DD}.csv - b) /{DD}/{MM}/{YYYY}/{SubjectArea}/{DataSource}/{FileData}_{YYYY}_{MM}_{DD}.csv - c) /{YYYY}/{MM}/{DD}/{SubjectArea}/{DataSource}/{FileData}_{YYYY}_{MM}_{DD}.csv - d) /{SubjectArea}/{DataSource}/{YYYY}/{MM}/{DD}/{FileData}_{YYYY}_{MM}_{DD}.csv","d) /{SubjectArea}/{DataSource}/{YYYY}/{MM}/{DD}/{FileData}_{YYYY}_{MM}_{DD}.csv","This structure is optimized for querying data by year and month while securing data by subject area.","","","",""
"You need to ensure that the Twitter feed data can be analyzed in the dedicated SQL pool. The solution must meet the customer sentiment analytic requirements. Which three Transact-SQL DDL commands should you run in sequence?","CREATE EXTERNAL DATA SOURCE - CREATE EXTERNAL FILE FORMAT - CREATE EXTERNAL TABLE AS SELECT","CREATE EXTERNAL DATA SOURCE - CREATE EXTERNAL FILE FORMAT - CREATE EXTERNAL TABLE AS SELECT","1. CREATE EXTERNAL DATA SOURCE: Defines the external data source from where Twitter data is pulled. 2. CREATE EXTERNAL FILE FORMAT: Specifies the format of the files storing Twitter data (CSV - Parquet - etc.). 3. CREATE EXTERNAL TABLE AS SELECT: Creates an external table and selects the data for analysis.","","","",""
"You have created an external table named ExtTable in Azure Data Explorer. Now - a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer.","","","",""
"You are working as a data engineer in a company. Your company wants you to ingest data onto cloud data platforms in Azure. Which data processing framework will you use?","a) Online transaction processing (OLTP) - b) Extract - transform - and load (ETL) - c) Extract - load - and transform (ELT)","c) Extract - load - and transform (ELT)","ELT is the preferred framework in cloud environments like Azure - where data is loaded into a data lake or warehouse and then transformed later.","","","",""
"In structured data - you define data type at query time.","True - False","False","False: In structured data - data types are predefined in a schema at the time of database or table creation - not during query time.","","","",""
"In unstructured data - you define data type at query time.","True - False","True","True: In unstructured data - the data does not follow a predefined schema - and the data types are often interpreted at query time based on the requirements.","","","",""
"Which of the following data file formats offers the highest performance and flexibility for data analytics?","a) Yet Another Markup Language (YAML) - b) Extensible Markup Language (XML) - c) Apache Parquet - d) JavaScript Object Notation (JSON)","c) Apache Parquet","Apache Parquet is optimized for big data processing and analytics - offering high performance for columnar storage.","","","",""
"What distinguishes a Failure dependency from a Fail activity?","a) When a Fail activity is executed without error - the pipeline status is set to Success - b) When an activity bound to a Failure dependency is successful - the pipeline status is set to Success - c) Fail activities always result in a Failed pipeline run status - d) Failure dependencies are useful for cleaning up failed activities so the issue can be avoided when triggered again","c) Fail activities always result in a Failed pipeline run status","Fail activities always result in a Failed pipeline run status - regardless of conditions.","","","",""
"What information is displayed as output when you execute the PDW_SHOWSPACEUSED command?","a) The number of rows on each table for each distribution - b) The amount of physical space used for the table on each distribution - c) The amount of data read from cache for the given table per distribution - d) The amount of remaining space in the distribution","a) The number of rows on each table for each distribution - b) The amount of physical space used for the table on each distribution","The command shows the number of rows and the physical space used for the table on each distribution.","","","",""
