"Front","Back"
"You use Azure Stream Analytics to receive data from Azure Event Hubs and to output the data to an Azure Blob Storage account. You need to output the count of records received from the last five minutes every minute. Which windowing function should you use?

Options:
a) Session
b) Tumbling
c) Sliding
d) Hopping","Correct Answer: d) Hopping

Explication : La fenêtre de saut (Hopping window) est idéale dans ce scénario car elle permet aux fenêtres de se chevaucher. Cela signifie qu'à chaque minute, une fenêtre des 5 dernières minutes est évaluée, fournissant des résultats chaque minute. Ce comportement de chevauchement permet une agrégation continue et fréquente des données.

Définitions des termes :
 - **Fenêtre de saut (Hopping window)** : Une fonction de fenêtre où les fenêtres peuvent se chevaucher en fonction d'une taille de saut définie. Ici, chaque minute, les dernières 5 minutes sont évaluées, garantissant des résultats fréquents et continus.
 - **Agrégation des données** : Processus consistant à combiner plusieurs points de données pour produire un total ou un résumé. Dans ce cas, cela permet de compter le nombre d'enregistrements dans chaque fenêtre temporelle.

Explication des réponses incorrectes :
 - **a) Session** : La fenêtre de session est utilisée pour regrouper les événements séparés par des périodes d'inactivité. Ce n'est pas applicable ici, car nous avons besoin d'une évaluation continue.
 - **b) Tumbling** : Les fenêtres Tumbling ne se chevauchent pas. Une fois qu'une fenêtre se termine, la suivante commence. Cela ne permet pas de fournir des résultats chaque minute basés sur les 5 dernières minutes.
 - **c) Sliding** : Les fenêtres Sliding évaluent continuellement les événements, mais elles ne sont pas l'option la plus efficace ici, car les fenêtres de saut offrent des chevauchements avec des sorties périodiques."
"You are designing the folder structure for an Azure Data Lake Storage Gen2 container. Users will query data by using a variety of services including Azure Databricks and Azure Synapse Analytics serverless SQL pools. The data will be secured by subject area. Most queries will include data from the current year or current month. Which folder structure should you recommend to support fast queries and simplified folder security?

Options:
a) /{SubjectArea}/{DataSource}/{DD}/{MM}/{YYYY}/{FileData}_{YYYY}_{MM}_{DD}.csv
b) /{DD}/{MM}/{YYYY}/{SubjectArea}/{DataSource}/{FileData}_{YYYY}_{MM}_{DD}.csv
c) /{YYYY}/{MM}/{DD}/{SubjectArea}/{DataSource}/{FileData}_{YYYY}_{MM}_{DD}.csv
d) /{SubjectArea}/{DataSource}/{YYYY}/{MM}/{DD}/{FileData}_{YYYY}_{MM}_{DD}.csv","Correct Answer: d) /{SubjectArea}/{DataSource}/{YYYY}/{MM}/{DD}/{FileData}_{YYYY}_{MM}_{DD}.csv

Explication : Cette structure est la plus efficace car elle permet de suivre une hiérarchie logique basée sur l'organisation des données par sujet (subject area) et source de données. Cela simplifie les requêtes fréquentes sur des périodes basées sur l'année ou le mois en utilisant un chemin structuré, tout en optimisant la sécurité des dossiers. Les utilisateurs peuvent facilement accéder aux données pertinentes et appliquer des politiques de sécurité plus granulaires par sujet et source.

Définitions des termes :
 - **Subject Area** : Le domaine ou sujet principal auquel les données se rapportent, ce qui facilite l'organisation et la sécurité des données.
 - **Data Source** : La source d'où proviennent les données, ce qui aide à organiser les fichiers selon leur origine.
 - **YYYY/MM/DD** : Format standard pour organiser les fichiers par année, mois et jour, ce qui facilite les requêtes temporelles.

Explication des réponses incorrectes :
 - **a) /{SubjectArea}/{DataSource}/{DD}/{MM}/{YYYY}/...** : L'organisation commence par le jour, ce qui rend les requêtes temporelles plus lentes et moins optimisées.
 - **b) /{DD}/{MM}/{YYYY}/{SubjectArea}/{DataSource}/...** : Le jour est en premier, ce qui est inefficace pour les requêtes basées sur l'année ou le mois.
 - **c) /{YYYY}/{MM}/{DD}/{SubjectArea}/{DataSource}/...** : Bien que cette structure soit meilleure pour les requêtes temporelles, elle n'est pas optimale pour la gestion de la sécurité par sujet."
"You need to ensure that the Twitter feed data can be analyzed in the dedicated SQL pool. The solution must meet the customer sentiment analytic requirements. Which three Transact-SQL DDL commands should you run in sequence?

Commands:
CREATE EXTERNAL DATA SOURCE
CREATE EXTERNAL FILE FORMAT
CREATE EXTERNAL TABLE
CREATE EXTERNAL TABLE AS SELECT
CREATE EXTERNAL SCOPED CREDENTIALS","Correct Answer:
1) CREATE EXTERNAL DATA SOURCE
2) CREATE EXTERNAL FILE FORMAT
3) CREATE EXTERNAL TABLE

Explication :
1. **CREATE EXTERNAL DATA SOURCE** : Vous devez d'abord définir la source de données externe, qui est le point d'entrée pour accéder aux données non structurées comme le flux Twitter.
2. **CREATE EXTERNAL FILE FORMAT** : Ensuite, vous définissez le format des fichiers que vous allez lire, par exemple, CSV, Parquet, ou JSON, en fonction du format des données Twitter.
3. **CREATE EXTERNAL TABLE** : Enfin, vous créez une table externe qui mappe les fichiers de données à une structure tabulaire dans le pool SQL, ce qui permet de les analyser.

Les autres options comme 'CREATE EXTERNAL TABLE AS SELECT' et 'CREATE EXTERNAL SCOPED CREDENTIALS' ne sont pas pertinentes dans cet ordre car elles ne correspondent pas à la séquence logique d'abord établir la source, le format, puis la table."
"You have created an external table named ExtTable in Azure Data Explorer. Now, a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?

Options:
a) external_table()
b) access_table()
c) ext_table()
d) None of the above","Correct Answer: a) external_table()

Explication : La fonction **external_table()** est utilisée dans Kusto Query Language (KQL) pour interroger des tables externes. Cela permet d’accéder à des données qui ne sont pas directement dans Azure Data Explorer mais qui sont connectées via des tables externes. Les autres options ne sont pas des fonctions valides dans le contexte KQL.

Définitions :
 - **external_table()** : Fonction KQL utilisée pour référencer une table externe et exécuter des requêtes dessus.
 - **KQL (Kusto Query Language)** : Un langage de requête conçu pour analyser des données volumineuses dans Azure Data Explorer.
Les autres options, comme **access_table()** et **ext_table()**, ne sont pas des fonctions valides dans ce contexte."
"You have created an external table named ExtTable in Azure Data Explorer. Now, a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following functions should he use to refer to this table?

Options:
a) external_table()
b) access_table()
c) ext_table()
d) None of the above","Correct Answer: a) external_table()

Explication : La fonction **external_table()** est utilisée dans le Kusto Query Language (KQL) pour interroger des tables externes dans Azure Data Explorer. Elle permet d'accéder à des données qui se trouvent dans des sources de données externes, telles que des fichiers ou des tables de bases de données externes, mais qui sont accessibles via une table externe dans Azure Data Explorer.

Les autres options ne sont pas valides pour ce contexte :
- **access_table()** et **ext_table()** ne sont pas des fonctions reconnues en KQL.
- **None of the above** est incorrect car la fonction appropriée est bien **external_table()**."
"#techblackBoard | Question 6

You have an Azure Synapse workspace named MyWorkspace that contains an Apache Spark database named mytestdb. You run the following command in an Azure Synapse Analytics Spark pool in MyWorkspace:

CREATE TABLE mytestdb.myParquetTable(
    EmployeeID int,
    EmployeeName string,
    EmployeeStartDate date
);

USING Parquet - You then use Spark to insert a row into mytestdb.myParquetTable. The row contains the following data:
EmployeeName: Peter | EmployeeID: 1001 | EmployeeStartDate: 28-July-2022

One minute later, you execute the following query from a serverless SQL pool in MyWorkspace:

SELECT EmployeeID
FROM mytestdb.dbo.myParquetTable
WHERE name = 'Peter';

What will be returned by the query?

Options:
a) 24
b) an error
c) a null value","Correct Answer: c) a null value

Explication : La colonne utilisée dans la clause WHERE est incorrecte. La table **myParquetTable** contient la colonne **EmployeeName** et non pas **name**. Par conséquent, la requête ne trouve aucune correspondance et retourne une valeur nulle (**null value**).

Tags: #techblackBoard"
"#techblackBoard | Question 7

In Structured data, you define data type at query time.

Options:
a) True
b) False","Correct Answer: b) False

Explication : Dans les données structurées, les types de données sont définis au moment de la création des tables et des colonnes, pas au moment de la requête. Cela permet d'assurer l'intégrité des données et de garantir que les informations insérées ou interrogées respectent des contraintes de type strictes.

Définitions des termes :
 - **Données structurées** : Les données organisées dans un format fixe comme les tableaux de bases de données, où chaque colonne a un type de données défini à l'avance (par exemple, entier, chaîne de caractères, date).
 - **Type de données** : Un attribut qui spécifie le type d'informations qu'une colonne ou une variable peut contenir (par exemple, un nombre, du texte, une date, etc.).
 - **Intégrité des données** : La précision et la cohérence des données sur l'ensemble de leur cycle de vie, assurée par des règles comme les types de données pour éviter les erreurs lors de la manipulation des données.

Tags: #techblackBoard"
"#techblackBoard | Question 8

In Unstructured data, you define data type at query time.

Options:
a) True
b) False","Correct Answer: a) True

Explication : Dans les données non structurées, les types de données sont souvent définis au moment de l'interrogation (query time), et non à l'avance comme pour les données structurées. Cela signifie que les données peuvent être stockées dans leur format natif sans transformation préalable, et la plateforme de données gère l'application des types lors des requêtes.

Définitions des termes :
 - **Données non structurées** : Les données qui ne suivent pas un format ou une structure fixe, comme les fichiers textes, les images, les vidéos, ou les données de capteurs. Elles sont généralement stockées dans leur format brut.
 - **Type de données** : Spécifie le type d'information qu'une donnée représente (texte, nombre, etc.). Dans les données non structurées, ce type est appliqué lors de la requête.
 - **Schema** : La définition de la structure des données, qui dans le cas des données non structurées, est souvent appliquée au moment de la requête.

Tags: #techblackBoard"
"#techblackBoard | Question 9

When you create a temporal table in Azure SQL Database, it automatically creates a history table in the same database for capturing the historical records. Which of the following statements are true about the temporal table and history table? [Select all options that are applicable]

Options:
a) A temporal table must have 1 primary key.
b) To create a temporal table, System Versioning needs to be set to On.
c) To create a temporal table, System Versioning needs to be set to Off.
d) It is mandatory to mention the name of the history table when you create the temporal table.
e) If you don't specify the name for the history table, the default naming convention is used for the history table.
f) You can specify the table constraints for the history table.","Correct Answers: b), e)

Explication :
1. **System Versioning must be set to On** : Pour créer une table temporelle, il est nécessaire d'activer le versioning système. Cela permet à la base de données de suivre automatiquement les modifications et de les enregistrer dans une table d'historique.
2. **History table name** : Si vous ne spécifiez pas de nom pour la table d'historique, une convention de nommage par défaut est appliquée. Il n'est donc pas obligatoire de nommer la table manuellement.

Définitions des termes :
 - **Temporal table** : Une table qui enregistre les modifications de données dans une table associée, appelée table d'historique.
 - **System Versioning** : Un mécanisme qui capture automatiquement les changements dans une table temporelle et les stocke dans la table d'historique associée.

Tags: #techblackBoard"
"#techblackBoard | Question 11

You need to output files from Azure Data Factory. Which file format should you use for each type of output?

To answer, select the appropriate options in the answer area.

Options:
Columnar format:
a) Avro
b) GZIP
c) Parquet
d) TXT

JSON with a timestamp:
a) Avro
b) GZIP
c) Parquet
d) TXT","Correct Answers:
 - **Columnar format**: c) Parquet
 - **JSON with a timestamp**: a) Avro

Explication :
1. **Parquet** : Format optimisé pour le stockage de données en colonnes, ce qui le rend particulièrement adapté pour les charges de travail analytiques lourdes qui impliquent la lecture de grandes quantités de données.
2. **Avro** : Format de sérialisation optimisé pour les fichiers JSON avec des métadonnées comme les horodatages. Il est largement utilisé dans les flux de données où une structure hiérarchique comme JSON est nécessaire.

Définitions des termes :
 - **Columnar format** : Un format de stockage de données en colonnes, optimisé pour les requêtes analytiques qui lisent les données colonne par colonne au lieu de ligne par ligne.
 - **JSON (JavaScript Object Notation)** : Un format léger d'échange de données souvent utilisé pour représenter des structures de données avec des paires clé-valeur.

Tags: #techblackBoard"
